lb,rp,top_n,cagr,sharpe,max_dd,final_val
11,2,1,0.1711013046252119,0.5950538410742652,-0.30614131275601836,1172007.5505947291
11,2,2,0.1540273729728081,0.6339843821241031,-0.21000167863698366,932254.2757470517
11,3,1,0.21272536161599143,0.8314641169263817,-0.2603505130718958,2019753.3419857796
11,3,2,0.1846410439754662,0.8280276260678154,-0.20993909946941935,1401932.9750525514
11,4,1,0.1757290612340292,0.6269960194157382,-0.23287357725898702,1246296.456382207
11,4,2,0.15871655641278082,0.646811582592814,-0.24453389494455025,993066.2617524341
11,5,1,0.15761189939689713,0.5298171676747042,-0.23979003097564483,978415.0891698744
11,5,2,0.18368941597436983,0.8504562858185708,-0.21275829519227568,1384485.7645048387
11,6,1,0.19817593878594675,0.7472752180527534,-0.25870303239541936,1673449.420516247
11,6,2,0.19342041856795844,0.8553396452824731,-0.21253454796838012,1572889.2634246433
11,8,1,0.19616532464977232,0.7887191329604616,-0.23746980449160074,1630220.439680129
11,8,2,0.1672143410309772,0.7735262764902512,-0.21824471915962768,1112834.0754622223
11,12,1,0.16347638067079595,0.5548799596095044,-0.2654580152640647,1058576.264559515
11,12,2,0.19492556695534402,0.8605975912857879,-0.18444016761524099,1604088.408663313
12,1,1,0.15096309827233667,0.4898898078602943,-0.31521755546529034,894417.2054250281
12,1,2,0.15141390036338698,0.635318140019286,-0.2099434578362587,899891.9741953303
