Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV20,VolPotential,VectorScore,Debit/unit,Debit_%S,Units,PnL_Total,Return_%,Win,CumPnL
ICICIBANK.NS,2021-08-30,2021-09-29,692.25,690,735,705.38,688.23,-0.58,0.2077,,3,15.38,2.222,130,-1999.61,-100.0,False,125271.61
TITAN.NS,2021-08-30,2021-09-29,1848.05,1850,1985,1894.32,2112.75,14.32,0.2613,,3,44.32,2.398,45,4080.45,204.58,True,129352.06
BAJFINANCE.NS,2021-08-30,2021-09-29,698.74,700,745,714.83,732.87,4.88,0.2324,,4,14.83,2.122,134,2417.32,121.68,True,131769.38
AJMERA.NS,2021-08-31,2021-09-30,68.26,70,75,71.59,69.52,1.84,0.4709,,3,1.59,2.332,1256,-1999.58,-100.0,False,129769.8
ICICIBANK.NS,2021-08-31,2021-09-30,697.49,695,740,710.53,679.84,-2.53,0.208,,3,15.53,2.226,128,-1987.62,-100.0,False,127782.18000000001
TCS.NS,2021-08-31,2021-09-30,3289.28,3290,3450,3345.31,3279.81,-0.29,0.1715,,3,55.31,1.682,36,-1991.23,-100.0,False,125790.95000000001
TITAN.NS,2021-08-31,2021-09-30,1890.51,1890,2025,1934.84,2126.87,12.5,0.2491,,4,44.84,2.372,44,3967.0,201.06,True,129757.95000000001
INFY.NS,2021-08-31,2021-09-30,1486.27,1485,1545,1506.54,1459.05,-1.83,0.1361,,4,21.54,1.449,92,-1981.23,-100.0,False,127776.72
BAJFINANCE.NS,2021-08-31,2021-09-30,733.75,735,790,752.94,747.76,1.91,0.2714,,4,17.94,2.446,111,-575.9,-28.91,False,127200.82
BAJFINANCE.NS,2021-09-01,2021-10-01,733.28,735,790,752.76,733.58,0.04,0.2703,,4,17.76,2.422,112,-1988.84,-100.0,False,125211.98000000001
ABREL.NS,2021-09-01,2021-10-01,814.59,815,880,839.01,902.44,10.78,0.4386,,3,24.01,2.947,83,3402.44,170.76,True,128614.42
TITAN.NS,2021-09-01,2021-10-01,1908.02,1910,2025,1948.46,2128.74,11.57,0.2158,,3,38.46,2.016,52,3980.03,199.0,True,132594.45
HDFCBANK.NS,2021-09-02,2021-10-04,743.49,745,770,753.88,741.97,-0.2,0.1285,,3,8.88,1.194,225,-1997.09,-100.0,False,130597.36
ABREL.NS,2021-09-02,2021-10-04,808.92,810,875,833.54,906.92,12.11,0.4166,,4,23.54,2.911,84,3482.33,176.08,True,134079.69
HDFCBANK.NS,2021-09-03,2021-10-05,737.43,735,765,746.28,746.51,1.23,0.1306,,3,11.28,1.53,177,40.66,2.04,True,134120.35
RELIANCE.NS,2021-09-03,2021-10-05,1081.79,1080,1145,1102.44,1181.75,9.24,0.2069,,4,22.44,2.074,89,3787.68,189.64,True,137908.03
ABREL.NS,2021-09-03,2021-10-05,836.5,835,905,860.72,918.24,9.77,0.4199,,3,25.72,3.074,77,3409.83,172.2,True,141317.86000000002
TCS.NS,2021-09-03,2021-10-05,3337.58,3340,3535,3405.7,3329.98,-0.23,0.2086,,3,65.7,1.968,30,-1970.89,-100.0,False,139346.97
TITAN.NS,2021-09-03,2021-10-05,1986.62,1985,2105,2026.05,2157.17,8.58,0.2115,,3,41.05,2.066,48,3789.55,192.32,True,143136.52000000002
RELIANCE.NS,2021-09-06,2021-10-06,1098.6,1100,1155,1118.79,1159.4,5.53,0.183,,4,18.79,1.71,106,3838.11,192.69,True,146974.63
AJMERA.NS,2021-09-06,2021-10-06,73.01,75,80,76.56,67.43,-7.63,0.441,,4,1.56,2.134,1283,-1998.63,-100.0,False,144976.0
ABREL.NS,2021-09-06,2021-10-06,854.82,855,925,880.32,910.22,6.48,0.408,,3,25.32,2.962,78,2332.23,118.1,True,147308.23
AJMERA.NS,2021-09-07,2021-10-07,76.65,75,85,78.68,69.15,-9.79,0.4618,,3,3.68,4.803,543,-1999.32,-100.0,False,145308.91000000003
ABCAPITAL.NS,2021-09-07,2021-10-07,112.6,115,120,116.84,110.1,-2.22,0.4978,,4,1.84,1.636,1085,-1999.01,-100.0,False,143309.90000000002
APOLLO.NS,2021-09-07,2021-10-07,11.27,10,15,11.44,12.02,6.66,0.451,,3,1.44,12.768,1389,812.92,40.66,True,144122.82
ANANTRAJ.NS,2021-09-07,2021-10-07,66.12,65,70,67.14,77.43,17.11,0.4694,,4,2.14,3.231,936,2680.44,134.05,True,146803.26
ANANTRAJ.NS,2021-09-08,2021-10-08,69.34,70,75,71.8,76.58,10.45,0.4684,,4,1.8,2.593,1112,3560.52,178.07,True,150363.78000000003
APOLLO.NS,2021-09-08,2021-10-08,11.35,10,15,11.5,11.99,5.6,0.4473,,3,1.5,13.246,1329,645.75,32.31,True,151009.53000000003
ABB.NS,2021-09-08,2021-10-08,1835.21,1835,1980,1885.92,1799.03,-1.97,0.3415,,4,50.92,2.775,39,-1985.95,-100.0,False,149023.58000000002
AJMERA.NS,2021-09-08,2021-10-08,80.25,80,85,82.02,68.58,-14.53,0.4378,,4,2.02,2.517,990,-1999.96,-100.0,False,147023.62000000002
ABCAPITAL.NS,2021-09-08,2021-10-08,114.7,115,125,118.62,111.45,-2.83,0.487,,4,3.62,3.156,552,-1998.46,-100.0,False,145025.16000000003
APARINDS.NS,2021-09-08,2021-10-08,643.67,645,695,663.77,647.1,0.53,0.4899,,3,18.77,2.916,106,-1767.29,-88.83,False,143257.87000000002
BHARTIARTL.NS,2021-09-09,2021-10-11,658.26,660,710,677.79,675.21,2.58,0.3764,,3,17.79,2.703,112,-289.29,-14.52,False,142968.58000000002
ANANTRAJ.NS,2021-09-09,2021-10-11,70.43,70,75,72.02,78.02,10.79,0.4694,,4,2.02,2.863,991,2956.65,147.96,True,145925.23
ABB.NS,2021-09-09,2021-10-11,1828.07,1830,1975,1880.27,1790.08,-2.08,0.3421,,4,50.27,2.75,39,-1960.58,-100.0,False,143964.65000000002
APARINDS.NS,2021-09-09,2021-10-11,638.12,640,690,658.5,686.24,7.54,0.4732,,3,18.5,2.899,108,2995.83,149.95,True,146960.48
ANGELONE.NS,2021-09-13,2021-10-12,117.95,120,125,121.96,131.5,11.49,0.6295,,4,1.96,1.66,1021,3105.33,155.29,True,150065.81000000003
APOLLO.NS,2021-09-13,2021-10-12,12.46,10,15,12.44,12.38,-0.68,0.5433,,4,2.44,19.603,818,-52.78,-2.64,False,150013.03000000003
BHARTIARTL.NS,2021-09-13,2021-10-12,665.12,665,720,684.51,670.81,0.86,0.3769,,3,19.51,2.934,102,-1397.65,-70.22,False,148615.38
ABB.NS,2021-09-14,2021-10-13,1865.08,1865,2015,1917.22,1766.86,-5.27,0.34,,3,52.22,2.8,38,-1984.37,-100.0,False,146631.01
BHARTIARTL.NS,2021-09-14,2021-10-13,665.98,665,720,684.69,674.28,1.25,0.3718,,3,19.69,2.956,101,-1051.16,-52.86,False,145579.85
APOLLO.NS,2021-09-14,2021-10-13,12.57,15,20,15.13,12.2,-2.97,0.5245,,4,0.13,1.033,15396,-1999.95,-100.0,False,143579.90000000002
TCS.NS,2021-09-14,2021-10-13,3375.68,3375,3575,3442.79,3175.27,-5.94,0.2067,,3,67.79,2.008,29,-1965.8,-100.0,False,141614.1
TCS.NS,2021-09-15,2021-10-14,3435.31,3435,3645,3505.45,3143.28,-8.5,0.2104,,3,70.45,2.051,28,-1972.73,-100.0,False,139641.37
ICICIBANK.NS,2021-09-15,2021-10-14,692.93,695,725,705.04,705.5,1.81,0.1593,,3,10.04,1.449,199,90.19,4.51,True,139731.56
BHARTIARTL.NS,2021-09-15,2021-10-14,696.01,695,750,715.27,670.27,-3.7,0.3957,,3,20.27,2.912,98,-1986.2,-100.0,False,137745.36000000002
ABB.NS,2021-09-15,2021-10-14,1863.71,1865,2015,1916.83,1778.74,-4.56,0.3404,,3,51.83,2.781,38,-1969.68,-100.0,False,135775.68000000002
TITAN.NS,2021-09-15,2021-10-14,2085.55,2085,2220,2130.35,2522.56,20.95,0.226,,4,45.35,2.174,44,3944.64,197.69,True,139720.32
