Ticker,Entry Date,Exit Date,S_entry,K1_Long,K2_Short,HV,IV_Rank,Debit/unit,Units,Total Debit,S_expiry,Breakeven,PnL/unit,PnL Total,Return %,Win,Score,Sig1_CheapVol,Sig2_Trend,Sig3_RSI,Sig4_Volume,Sig5_ATR,Capital_After
AARON.NS,2023-12-11,2024-01-10,150.95,150,160,0.329,,3.94,133,523.51,137.11,153.94,-3.94,-523.51,-100.0,False,3,0,1,0,1,1,25663.06
AARON.NS,2023-12-12,2024-01-11,144.71,145,150,0.3708,,2.13,241,513.1,139.47,147.13,-2.13,-513.1,-100.0,False,3,0,1,0,1,1,25149.95
AARON.NS,2024-03-01,2024-04-04,139.35,140,145,0.5092,,2.11,237,501.03,132.56,142.11,-2.11,-501.03,-100.0,False,4,0,1,1,1,1,24648.93
AARON.NS,2024-03-04,2024-04-05,144.91,145,150,0.5246,,2.18,226,491.96,133.46,147.18,-2.18,-491.96,-100.0,False,3,0,1,0,1,1,24156.96
AARON.NS,2024-03-06,2024-04-09,135.4,135,140,0.5793,,2.2,219,482.6,128.17,137.2,-2.2,-482.6,-100.0,False,3,0,1,0,1,1,23674.36
AARON.NS,2024-05-17,2024-06-19,138.13,140,145,0.2949,,1.82,260,472.22,131.35,141.82,-1.82,-472.22,-100.0,False,3,0,1,0,1,1,23202.14
AARON.NS,2024-05-21,2024-06-20,141.85,140,150,0.3013,,4.08,113,461.09,129.93,144.08,-4.08,-461.09,-100.0,False,3,0,1,0,1,1,22741.05
AARON.NS,2024-07-29,2024-08-28,146.35,145,155,0.4317,,4.13,110,454.53,134.8,149.13,-4.13,-454.53,-100.0,False,4,0,1,1,1,1,22286.53
AARON.NS,2024-09-05,2024-10-07,136.84,135,145,0.1494,0.076,3.5,127,444.03,126.05,138.5,-3.5,-444.03,-100.0,False,4,1,1,1,1,0,21842.5
AARON.NS,2024-09-06,2024-10-08,139.12,140,145,0.1589,0.096,1.68,260,435.82,126.85,141.68,-1.68,-435.82,-100.0,False,3,1,1,0,1,0,21406.68
AARON.NS,2024-09-09,2024-10-09,138.18,140,145,0.159,0.1,1.42,301,427.66,128.82,141.42,-1.42,-427.66,-100.0,False,3,1,1,0,1,0,20979.01
AARON.NS,2024-09-17,2024-10-17,136.67,135,145,0.1854,0.175,3.62,115,416.01,136.25,138.62,-2.37,-272.61,-65.53,False,3,1,1,0,0,1,20706.4
AARON.NS,2024-09-20,2024-10-22,132.41,130,140,0.2251,0.247,4.05,102,413.53,129.46,134.05,-4.05,-413.53,-100.0,False,3,1,0,1,0,1,20292.87
AARON.NS,2024-10-11,2024-11-11,139.51,140,145,0.3288,0.554,2.07,196,405.04,144.1,142.07,2.04,398.88,98.48,True,3,0,1,0,1,1,20691.76
