Date,Ticker,Type,Entry,Exit,PnL_%,PnL_USD,Capital
2019-07-10,^NSEBANK,Equity 1x2 Spread,30846.69140625,30521.744140625,-0.12,-12.1,125219.81
2019-07-11,ICICIBANK.NS,Equity 1x2 Spread,423.2228088378906,411.54833984375,-0.12,-12.1,125207.71
2019-07-15,^NSEI,Equity 1x2 Spread,11788.849609375,11588.349609375,-0.12,-12.02,125195.69
2019-07-25,^NSEBANK,Equity 1x2 Spread,30521.744140625,29042.712890625,-0.12,-12.02,125183.67
2019-07-26,ICICIBANK.NS,Equity 1x2 Spread,411.54833984375,402.1082458496094,-0.12,-12.02,125171.65
2019-07-31,^NSEI,Equity 1x2 Spread,11662.599609375,11118.0,-0.12,-12.02,125159.63
2019-08-13,BTC-USD,Crypto 1.5x,10399.6689453125,11177.76259765625,10.86,1087.67,126247.3
2019-08-21,BTC-USD,Crypto 1.5x,10916.0537109375,10370.251025390624,-7.86,-793.84,125453.46
2019-09-16,TCS.NS,Equity 1x2 Spread,1866.853759765625,1776.3033447265625,-0.12,-12.04,125441.41
2019-10-25,RELIANCE.NS,Equity 1x2 Spread,606.8247680664062,641.8694010565094,3.1,311.59,125753.0
2019-10-25,ICICIBANK.NS,Equity 1x2 Spread,426.1428527832031,455.20680097058164,2.06,206.7,125959.71
2019-11-04,^NSEI,Equity 1x2 Spread,11661.849609375,11941.2998046875,2.28,228.43,126188.14
2019-11-11,RELIANCE.NS,Equity 1x2 Spread,637.30517578125,635.7910766601562,-0.12,-12.09,126176.05
2019-11-11,ICICIBANK.NS,Equity 1x2 Spread,453.7076721191406,482.6266037853838,2.51,252.53,126428.58
2019-11-19,^NSEI,Equity 1x2 Spread,11941.2998046875,11940.099609375,-0.12,-12.11,126416.46
2019-11-20,RELIANCE.NS,Equity 1x2 Spread,635.7910766601562,700.1806517569983,-1.25,-126.17,126290.29
2019-11-21,^NSEBANK,Equity 1x2 Spread,30609.244140625,31349.583984375,2.3,232.05,126522.34
2019-11-26,ICICIBANK.NS,Equity 1x2 Spread,480.498779296875,493.94268798828125,2.68,270.85,126793.2
2019-12-04,^NSEI,Equity 1x2 Spread,11940.099609375,12043.2001953125,0.74,75.19,126868.39
2019-12-06,^NSEBANK,Equity 1x2 Spread,31349.583984375,31341.185546875,-0.12,-12.15,126856.24
2019-12-11,ICICIBANK.NS,Equity 1x2 Spread,493.94268798828125,517.6387907921829,4.08,414.12,127270.36
2019-12-12,RELIANCE.NS,Equity 1x2 Spread,699.0452270507812,698.3104248046875,-0.12,-12.17,127258.19
2019-12-19,^NSEI,Equity 1x2 Spread,12043.2001953125,12259.7001953125,1.68,170.28,127428.47
2019-12-23,^NSEBANK,Equity 1x2 Spread,31341.185546875,32339.07421875,3.06,310.95,127739.41
2019-12-26,ICICIBANK.NS,Equity 1x2 Spread,516.0429077148438,521.072265625,0.85,87.01,127826.43
2019-12-31,RELIANCE.NS,Equity 1x2 Spread,697.5979614257812,674.1978759765625,-0.12,-12.22,127814.21
2020-01-03,^NSEI,Equity 1x2 Spread,12259.7001953125,12226.650390625,-0.12,-12.23,127801.98
2020-01-07,^NSEBANK,Equity 1x2 Spread,32339.07421875,31399.03515625,-0.12,-12.26,127789.71
2020-01-10,ICICIBANK.NS,Equity 1x2 Spread,521.072265625,522.5230712890625,0.16,16.2,127805.91
2020-01-15,TCS.NS,Equity 1x2 Spread,1826.125732421875,1881.203857421875,2.9,296.13,128102.05
2020-01-20,^NSEI,Equity 1x2 Spread,12226.650390625,12224.5498046875,-0.12,-12.27,128089.78
2020-01-24,RELIANCE.NS,Equity 1x2 Spread,689.3154907226562,677.5374755859375,-0.12,-12.27,128077.51
2020-01-29,ICICIBANK.NS,Equity 1x2 Spread,519.9600219726562,509.3209533691406,-0.12,-12.27,128065.24
2020-01-30,TCS.NS,Equity 1x2 Spread,1881.203857421875,1810.0789794921875,-0.12,-12.3,128052.94
2020-03-03,TCS.NS,Equity 1x2 Spread,1865.4521484375,1724.013671875,-0.12,-12.29,128040.65
2020-03-04,^NSEI,Equity 1x2 Spread,11992.5,11251.0,-0.12,-12.29,128028.36
2020-03-05,ICICIBANK.NS,Equity 1x2 Spread,526.9237670898438,487.94610595703125,-0.12,-12.29,128016.06
2020-04-29,ETH-USD,Crypto 1.5x,185.02867126464844,203.5405532836914,14.65,1500.07,129516.14
2020-05-04,ETH-USD,Crypto 1.5x,216.96823120117188,206.11981964111328,-7.86,-814.4,128701.74
2020-05-08,RELIANCE.NS,Equity 1x2 Spread,650.463623046875,703.5203455803562,0.72,74.47,128776.2
2020-05-19,BTC-USD,Crypto 1.5x,8801.0380859375,9729.0380859375,15.46,1601.47,130377.68
2020-05-21,ETH-USD,Crypto 1.5x,210.09674072265625,199.59190368652344,-7.86,-819.81,129557.86
2020-05-26,RELIANCE.NS,Equity 1x2 Spread,695.4605712890625,640.1321411132812,-0.12,-12.36,129545.5
2020-05-30,ETH-USD,Crypto 1.5x,208.69439697265625,226.50285568237305,12.44,1289.35,130834.85
2020-06-02,BTC-USD,Crypto 1.5x,10167.2685546875,9658.905126953125,-7.86,-822.69,130012.16
