Ticker,Entry_Date,Exit_Date,Year,S_Entry,S_Exit,Move_%,Return_%,Win
ICICIBANK.NS,2025-06-26,2025-07-25,2025,1428.08,1465.79,2.64,132.03,True
BTC-USD,2025-07-03,2025-07-24,2025,109647.98,118368.0,7.95,235.94,True
BTC-USD,2025-07-28,2025-08-18,2025,117924.48,116252.31,-1.42,-5.0,False
ICICIBANK.NS,2025-08-04,2025-09-04,2025,1452.0,1405.5,-3.2,-5.0,False
AIIL.NS,2025-08-08,2025-09-10,2025,568.72,622.68,9.49,228.63,True
ANANDRATHI.NS,2025-08-28,2025-09-26,2025,1378.72,1427.78,3.56,177.91,True
AIIL.NS,2025-09-15,2025-10-15,2025,655.38,649.94,-0.83,-5.0,False
AIIL.NS,2025-10-16,2025-11-18,2025,647.58,558.98,-13.68,-5.0,False
BHARTIARTL.NS,2025-11-21,2025-12-22,2025,2162.7,2147.6,-0.7,-5.0,False
TITAN.NS,2025-12-02,2026-01-01,2025,3873.09,4036.06,4.21,210.38,True
RELIANCE.NS,2025-12-18,2026-01-19,2025,1537.29,1407.09,-8.47,-5.0,False
NIFTY50,2025-12-23,2026-01-23,2025,26177.15,25048.65,-4.31,-5.0,False
TITAN.NS,2026-01-02,2026-02-03,2026,4038.45,4055.29,0.42,20.86,True
TITAN.NS,2026-02-25,2026-03-30,2026,4310.85,3938.48,-8.64,-5.0,False
TITAN.NS,2026-04-23,2026-05-22,2026,4441.92,4066.46,-8.45,-5.0,False
ANANDRATHI.NS,2026-05-06,2026-06-04,2026,1805.66,1750.6,-3.05,-5.0,False
ANANDRATHI.NS,2026-06-18,2026-07-17,2026,1805.3,2072.7,14.81,203.28,True
