Entry Date,Exit Date,Entry Price,Exit Price,Profit,Return %,Stock
2024-01-08,2024-01-22,2333.03271484375,2310.826416015625,-47918.36032800283,-1.3476176731893406,ETH-USD
2024-02-06,2024-03-19,2372.201904296875,3157.6181640625,1142766.2414292786,32.57726149625911,ETH-USD
2024-03-20,2024-04-02,3513.39306640625,3277.234619140625,-329934.5159321986,-7.094403389902102,ETH-USD
2024-04-08,2024-04-09,3695.292724609375,3505.163330078125,-238684.68873041542,-5.524218036605512,ETH-USD
2024-05-15,2024-06-07,3037.056640625,3678.629150390625,842559.7624540678,20.640797385710233,ETH-USD
2024-07-15,2024-07-24,3489.552734375,3336.33935546875,-235034.32690463122,-4.772685889801642,ETH-USD
2024-08-08,2024-08-27,2683.352783203125,2458.7265625,-409736.67173569463,-8.73725190047541,ETH-USD
2024-10-14,2024-10-23,2628.89990234375,2509.098876953125,-211356.58256952278,-4.9384681549565395,ETH-USD
2024-11-06,2024-12-09,2724.169189453125,3718.6904296875,1463087.2580535067,35.96183956085378,ETH-USD
2025-01-03,2025-01-07,3605.009765625,3381.577392578125,-363568.92035306897,-6.572663368819974,ETH-USD
2025-01-15,2025-02-01,3450.53759765625,3118.32861328125,-516221.1924491208,-9.988873204795269,ETH-USD
2025-03-02,2025-03-03,2519.694580078125,2145.573974609375,-706512.1603868776,-15.188123278791323,ETH-USD
2025-04-09,2025-06-05,1668.0400390625,2416.28564453125,1746904.7616640204,44.27892081345471,ETH-USD
2025-06-09,2025-08-01,2681.51708984375,3488.365966796875,1683131.5673051989,29.569431779978217,ETH-USD
2025-08-04,2025-08-25,3718.986083984375,4372.98779296875,1262321.815495505,17.115612572599943,ETH-USD
2025-09-12,2025-09-22,4715.24609375,4202.87744140625,-969343.781450646,-11.222390943730568,ETH-USD
2025-09-26,2025-10-07,4035.887939453125,4451.15185546875,755212.0436166916,9.84856663921721,ETH-USD
2025-10-12,2025-11-03,4164.427734375,3602.30810546875,-1166125.0971392756,-13.843785722030944,ETH-USD
2025-12-02,2026-01-07,2997.939697265625,3166.843994140625,378244.71638896223,5.21189897238182,ETH-USD
2026-01-13,2026-01-20,3322.095458984375,2935.605712890625,-915278.3007871183,-11.987025401256952,ETH-USD
2026-02-06,2026-02-23,2063.386962890625,1855.5028076171875,-701211.8632346299,-10.434239837934278,ETH-USD
2026-02-25,2026-03-18,2054.6279296875,2203.671630859375,410830.28387340344,6.825461063224745,ETH-USD
2026-04-07,2026-05-12,2241.806640625,2274.6435546875,68112.03419682477,1.0592991379197678,ETH-USD
2020-06-05,2020-06-06,0.6611549854278564,0.6224430203437805,-6231.405389268621,-6.2314053892686205,SOL-USD
2020-06-08,2020-06-11,0.6683130264282227,0.5737419724464417,-13590.600783375543,-14.493766105587087,SOL-USD
2020-06-19,2020-07-16,0.684332013130188,0.8724409937858582,21630.842827282613,26.978528390046115,SOL-USD
2020-07-25,2020-09-03,1.252223014831543,3.5273399353027344,183826.66917659965,180.56062245381176,SOL-USD
2020-09-09,2020-10-06,3.636378049850464,2.1762499809265137,-115375.34997554682,-40.39250990166257,SOL-USD
2020-11-06,2020-11-22,1.9137400388717651,2.1448450088500977,19798.249282845296,11.62823397132671,SOL-USD
2020-12-15,2020-12-23,1.7606710195541382,1.2056920528411865,-60428.159005428184,-31.794520721870278,SOL-USD
2020-12-28,2021-01-05,1.515684962272644,2.157217025756836,54130.322329627306,41.75747863198886,SOL-USD
2021-01-07,2021-01-21,2.3727450370788574,2.9905359745025635,46920.18734419037,25.53332727293189,SOL-USD
2021-02-02,2021-02-20,5.267508029937744,10.002663612365723,205616.92628496085,89.13484159773473,SOL-USD
2021-02-22,2021-02-25,14.454785346984863,13.816014289855957,-20946.82091820141,-4.801038781083848,SOL-USD
2021-03-11,2021-03-12,15.992279052734375,14.552142143249512,-38913.459777425625,-9.368816442914115,SOL-USD
2021-03-26,2021-05-19,14.779420852661133,35.107181549072266,514182.50595711125,136.5917690564049,SOL-USD
2021-05-20,2021-06-21,44.74274826049805,26.657400131225586,-362115.4976782248,-40.6588146849662,SOL-USD
2021-07-21,2021-09-20,26.623079299926758,132.13446044921875,2084063.0168193504,394.3321907380779,SOL-USD
2021-09-22,2021-11-16,147.92425537109375,219.23902893066406,1244054.5202846127,47.61808279734491,SOL-USD
2021-11-19,2021-12-03,215.28001403808594,211.22439575195312,-87774.88558488572,-2.275952551122924,SOL-USD
2021-12-15,2021-12-28,178.34078979492188,177.42562866210938,-34322.98258506507,-0.9107024516454971,SOL-USD
2022-01-12,2022-01-21,151.70310974121094,111.96605682373047,-989233.9607957928,-26.488889614127515,SOL-USD
2022-02-04,2022-02-11,112.17424774169922,96.38188171386719,-395919.32918575685,-14.42176645072063,SOL-USD
2022-02-15,2022-02-17,104.87330627441406,93.4104232788086,-265153.34080255753,-11.286142744519587,SOL-USD
2022-02-28,2022-04-06,99.52034759521484,112.88338470458984,270410.2504037421,12.974186099724092,SOL-USD
2022-05-04,2022-05-05,92.7708511352539,84.59602355957031,-216066.22107086098,-9.176237127992296,SOL-USD
2022-06-06,2022-07-11,42.43313217163086,33.463600158691406,-458789.25838294486,-21.453171362305582,SOL-USD
2022-07-18,2022-07-25,43.746158599853516,36.711997985839844,-275731.9150745701,-16.41483958317003,SOL-USD
2022-07-27,2022-08-19,40.3078498840332,35.8902587890625,-158873.26848124806,-11.315435038618883,SOL-USD
2022-09-07,2022-09-13,32.71091842651367,33.430816650390625,22318.304608714534,1.7923944320278402,SOL-USD
2022-10-25,2022-11-06,30.93997573852539,32.6835823059082,66078.19081713655,5.213329790947287,SOL-USD
2022-11-23,2022-12-07,14.35151195526123,13.5196533203125,-82317.56285301736,-6.17275150087539,SOL-USD
2022-12-13,2022-12-16,13.833986282348633,12.266606330871582,-146198.68602424674,-11.684248324271088,SOL-USD
2023-01-02,2023-01-30,11.272967338562012,23.946321487426758,1232941.9320622166,111.5736812717973,SOL-USD
2023-02-15,2023-02-16,23.883901596069336,22.285951614379883,-165140.46694943262,-7.063354525870888,SOL-USD
