Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
UYFINCORP.NS,2025-09-19 00:00:00+05:30,2025-10-14 00:00:00+05:30,13.67000008,14.46000004,12875969.11,744112.2933,5.779077962,UT Sell,253047253.7,253147253.7
GANDHITUBE.NS,2025-09-26 00:00:00+05:30,2025-10-15 00:00:00+05:30,927.6500244,882.25,12232774,-598682.9339,-4.894089713,Stop Loss,252448570.8,252548570.8
DHANBANK.NS,2025-10-06 00:00:00+05:30,2025-10-15 00:00:00+05:30,26.30999947,25.18000031,13629317.24,-585371.2411,-4.294941785,Stop Loss,251863199.5,251963199.5
MANAKSIA.NS,2025-10-13 00:00:00+05:30,2025-10-15 00:00:00+05:30,67.77999878,66.55000305,12293508.61,-223088.866,-1.814688329,UT Sell,251640110.7,251740110.7
JMA.NS,2025-10-14 00:00:00+05:30,2025-10-17 00:00:00+05:30,93.48999786,89.52999878,13135187.52,-556373.2135,-4.235746256,Stop Loss,251083737.5,251183737.5
SRGHFL.NS,2025-10-13 00:00:00+05:30,2025-10-20 00:00:00+05:30,309.8999939,294.8500061,12293508.61,-597022.1302,-4.856401449,Stop Loss,250486715.3,250586715.3
BPCL.NS,2025-08-08 00:00:00+05:30,2025-10-23 00:00:00+05:30,304.3531799,315.6431274,12285818.76,455741.0865,3.709488927,UT Sell,250942456.4,251042456.4
JPOLYINVST.NS,2025-08-29 00:00:00+05:30,2025-10-23 00:00:00+05:30,865.5999756,1002.349976,13345896.17,2108423.467,15.79829065,UT Sell,253050879.9,253150879.9
IOC.NS,2025-09-11 00:00:00+05:30,2025-10-23 00:00:00+05:30,137.9116516,143.8428192,11682319.93,502421.6351,4.300700871,UT Sell,253553301.5,253653301.5
FIBERWEB.NS,2025-10-23 00:00:00+05:30,2025-10-28 00:00:00+05:30,43.66999817,43.63000107,13460207.02,-12328.1264,-0.091589426,UT Sell,253540973.4,253640973.4
CENTRALBK.NS,2025-10-15 00:00:00+05:30,2025-10-30 00:00:00+05:30,37.60222244,39.08871078,12249485.6,484245.7803,3.953192779,UT Sell,254025219.2,254125219.2
LIBAS.NS,2025-10-15 00:00:00+05:30,2025-10-30 00:00:00+05:30,12.27999973,11.72000027,12249485.6,-558607.9434,-4.560256336,Stop Loss,253466611.2,253566611.2
AVANTIFEED.NS,2025-10-13 00:00:00+05:30,2025-10-31 00:00:00+05:30,666.8499756,697.4000244,12293508.61,563196.0742,4.581247649,UT Sell,254029807.3,254129807.3
VEDL.NS,2025-09-25 00:00:00+05:30,2025-10-31 00:00:00+05:30,454.0667114,485.442688,12887481.5,890524.0296,6.909992689,UT Sell,254920331.3,255020331.3
NAHARPOLY.NS,2025-08-29 00:00:00+05:30,2025-10-31 00:00:00+05:30,292.519043,285.0499878,13345896.17,-340768.3611,-2.553356903,UT Sell,254579563,254679563
DBL.NS,2025-10-30 00:00:00+05:30,2025-11-06 00:00:00+05:30,495.6000061,476.4500122,12212304.52,-471883.6847,-3.864001949,UT Sell,254107679.3,254207679.3
BCG.NS,2025-10-28 00:00:00+05:30,2025-11-06 00:00:00+05:30,13.61999989,12.72000027,13447878.89,-888625.9892,-6.60792677,Stop Loss,253219053.3,253319053.3
IIFL.NS,2025-09-29 00:00:00+05:30,2025-11-06 00:00:00+05:30,435.5770569,516.9251709,12232774,2284585.651,18.67594097,UT Sell,255503638.9,255603638.9
BCLIND.NS,2025-10-23 00:00:00+05:30,2025-11-06 00:00:00+05:30,40.27000046,38.93000031,13460207.02,-447893.6988,-3.327539452,UT Sell,255055745.3,255155745.3
FLAIR.NS,2025-11-06 00:00:00+05:30,2025-11-07 00:00:00+05:30,329.4679871,312.8448486,12957336.68,-653755.7811,-5.045448748,Stop Loss,254401989.5,254501989.5
TNPETRO.NS,2025-09-19 00:00:00+05:30,2025-11-11 00:00:00+05:30,105.0500031,107.9599991,12875969.11,356677.9433,2.770105615,UT Sell,254758667.4,254858667.4
PRAXIS.NS,2025-10-06 00:00:00+05:30,2025-11-13 00:00:00+05:30,11.89999962,11.30000019,13629317.24,-687191.8325,-5.04201216,Stop Loss,254071475.6,254171475.6
